,Name,Age,Annual_Income,Purchase_Car
186,Person_361,29,359794,No
187,Person_219,20,427897,No
188,Person_330,23,371410,No
189,Person_194,53,1232751,Yes
190,Person_251,22,419973,No
191,Person_295,55,276723,No
192,Person_184,45,594366,Yes
193,Person_196,41,376615,Yes
194,Person_276,32,327662,No
195,Person_204,28,390518,No
196,Person_275,36,319475,No
197,Person_130,56,864076,Yes
198,Person_39,44,1107317,Yes
199,Person_12,55,677095,Yes
200,Person_263,39,282552,No
201,Person_186,25,300235,Yes
202,Person_317,36,311042,No
203,Person_113,22,236631,Yes
204,Person_180,52,228251,Yes
205,Person_262,30,393156,No
206,Person_363,36,265726,No
207,Person_118,58,1330650,Yes
208,Person_359,46,329032,No
209,Person_350,39,286388,No
210,Person_375,21,390267,No
211,Person_372,20,394203,No
212,Person_353,22,404006,No
213,Person_165,51,389407,Yes
214,Person_351,58,265726,No
215,Person_137,51,1486125,Yes
216,Person_155,22,1225715,Yes
217,Person_200,28,1382991,Yes
218,Person_198,35,838836,Yes
219,Person_383,26,405510,No
220,Person_3,34,511955,Yes
221,Person_205,47,266654,No
222,Person_116,45,1266646,Yes
223,Person_367,54,265726,No
224,Person_230,48,317914,No
225,Person_27,46,886976,Yes
226,Person_121,34,358823,Yes
227,Person_299,21,410037,No
228,Person_225,22,329923,No
229,Person_235,39,357964,No
230,Person_308,22,427897,No
231,Person_336,35,314187,No
232,Person_128,23,435362,Yes
233,Person_75,44,638741,Yes
234,Person_315,34,286672,No
235,Person_30,34,1007364,Yes
236,Person_84,27,1420412,Yes
237,Person_323,33,310400,No
238,Person_108,54,888105,Yes
239,Person_335,21,424357,No
240,Person_248,27,386447,No
241,Person_134,48,420984,Yes
242,Person_185,51,944840,Yes
243,Person_283,39,355334,No
244,Person_45,47,991971,Yes
245,Person_358,35,303007,No
246,Person_66,27,680047,Yes
247,Person_293,24,351799,No
248,Person_86,30,245714,Yes
249,Person_243,21,401512,No
250,Person_187,51,1323316,Yes
251,Person_71,35,1217026,Yes
252,Person_160,28,1197639,Yes
253,Person_13,59,271295,No
254,Person_36,58,580002,Yes
255,Person_29,35,1244107,Yes
256,Person_171,22,927975,Yes
257,Person_143,47,866326,Yes
258,Person_311,27,401190,No
259,Person_338,24,356846,No
260,Person_222,48,287003,No
261,Person_96,28,989852,Yes
262,Person_52,59,967836,Yes
263,Person_241,30,298432,No
264,Person_291,34,344499,No
265,Person_297,47,265726,No
266,Person_179,51,1335248,Yes
267,Person_42,45,868234,Yes
268,Person_303,37,358745,No
269,Person_207,29,400316,No
270,Person_255,49,310370,No
271,Person_324,28,374490,No
272,Person_5,40,312547,Yes
273,Person_257,37,280429,No
274,Person_389,42,270116,No
275,Person_101,42,265726,No
276,Person_227,23,345592,No
277,Person_334,36,292116,No
278,Person_214,27,394835,No
279,Person_172,56,273523,Yes
280,Person_99,53,1235362,Yes
281,Person_216,33,331163,No
282,Person_62,55,1338848,Yes
283,Person_48,54,716349,Yes
284,Person_33,26,1190198,Yes
285,Person_268,55,271968,No
286,Person_201,43,346492,No
287,Person_347,35,315811,No
288,Person_28,47,575037,Yes
289,Person_305,27,386382,No
290,Person_231,51,270445,No
291,Person_261,20,351937,No
292,Person_289,30,380886,No
293,Person_163,43,1204646,Yes
294,Person_332,42,342140,No
295,Person_139,41,1372622,Yes
296,Person_63,33,238467,Yes
297,Person_136,32,801863,Yes
298,Person_129,49,997079,Yes
299,Person_9,30,414835,Yes
300,Person_65,34,1077844,Yes
301,Person_301,21,351471,No
302,Person_15,22,1087121,Yes
303,Person_157,25,384078,Yes
304,Person_41,28,521184,Yes
305,Person_357,23,396170,No
306,Person_341,47,329553,No
307,Person_217,36,333673,No
308,Person_280,23,331654,No
309,Person_337,47,323234,No
310,Person_237,41,265726,No
311,Person_208,51,265726,No
312,Person_213,27,375339,No
313,Person_296,52,287703,No
314,Person_355,25,388694,No
315,Person_252,46,329346,No
316,Person_381,51,277564,No
317,Person_356,42,342869,No
318,Person_304,48,265726,No
319,Person_270,21,367373,No
320,Person_202,30,305286,No
321,Person_162,52,203051,Yes
322,Person_44,39,232711,Yes
323,Person_218,46,328025,No
324,Person_191,57,1243233,Yes
325,Person_310,59,285061,No
326,Person_260,42,275373,No
327,Person_106,41,750929,Yes
328,Person_54,21,902335,Yes
329,Person_2,48,1264284,Yes
330,Person_50,36,1024792,Yes
331,Person_81,28,560032,Yes
332,Person_206,42,344114,No
333,Person_35,28,469544,Yes
334,Person_264,34,275109,No
335,Person_92,24,1029957,Yes
336,Person_53,23,1186001,Yes
337,Person_265,20,424951,No
338,Person_242,48,274787,No
339,Person_14,43,943974,Yes
340,Person_316,26,383810,No
341,Person_89,54,324123,Yes
342,Person_274,20,424125,No
343,Person_167,43,1149597,Yes
344,Person_329,37,319280,No
345,Person_384,39,267911,No
346,Person_135,55,464512,Yes
347,Person_307,34,304525,No
348,Person_374,36,304556,No
349,Person_320,23,350935,No
350,Person_244,21,398012,No
351,Person_55,25,1007789,Yes
352,Person_51,55,333272,Yes
353,Person_175,21,1003451,Yes
354,Person_190,36,1003328,Yes
355,Person_388,23,308675,No
356,Person_188,23,578496,Yes
357,Person_170,21,1157238,Yes
358,Person_59,45,654351,Yes
359,Person_49,33,1112495,Yes
360,Person_345,50,276777,No
361,Person_236,33,283554,No
362,Person_253,39,340440,No
363,Person_22,40,1208239,Yes
364,Person_314,25,364701,No
365,Person_161,56,451451,Yes
366,Person_277,26,361284,No
367,Person_192,43,377247,Yes
368,Person_294,38,367282,No
369,Person_344,21,310686,No
370,Person_258,36,365986,No
371,Person_309,37,291975,No
372,Person_150,58,484821,Yes
373,Person_131,42,419963,Yes
374,Person_152,20,427897,No
375,Person_360,20,381156,No
376,Person_100,52,848307,Yes
377,Person_373,30,301510,No
378,Person_88,27,830271,Yes
379,Person_331,45,327749,No
380,Person_215,42,277686,No
381,Person_122,34,1223904,Yes
382,Person_390,31,312453,No
383,Person_21,21,845263,Yes
384,Person_189,30,950201,Yes
385,Person_72,37,456687,Yes
386,Person_107,46,889944,Yes
387,Person_271,57,286320,No
388,Person_349,24,415140,No
389,Person_103,56,468246,Yes
