Name,Age,Annual_Income,Purchase_Car
Person_36,58,580002,Yes
Person_29,35,1244107,Yes
Person_171,22,927975,Yes
Person_143,47,866326,Yes
Person_311,27,401190,No
Person_338,24,356846,No
Person_222,48,287003,No
Person_96,28,989852,Yes
Person_52,59,967836,Yes
Person_241,30,298432,No
Person_291,34,344499,No
Person_297,47,265726,No
Person_179,51,1335248,Yes
Person_42,45,868234,Yes
Person_303,37,358745,No
Person_207,29,400316,No
Person_255,49,310370,No
Person_324,28,374490,No
Person_5,40,312547,Yes
Person_257,37,280429,No
Person_389,42,270116,No
Person_101,42,265726,No
Person_227,23,345592,No
Person_334,36,292116,No
Person_214,27,394835,No
Person_172,56,273523,Yes
Person_99,53,1235362,Yes
Person_216,33,331163,No
Person_62,55,1338848,Yes
Person_48,54,716349,Yes
Person_33,26,1190198,Yes
Person_268,55,271968,No
Person_201,43,346492,No
Person_347,35,315811,No
Person_28,47,575037,Yes
Person_305,27,386382,No
Person_231,51,270445,No
Person_261,20,351937,No
Person_289,30,380886,No
Person_163,43,1204646,Yes
Person_332,42,342140,No
Person_139,41,1372622,Yes
Person_63,33,238467,Yes
Person_136,32,801863,Yes
Person_129,49,997079,Yes
Person_9,30,414835,Yes
Person_65,34,1077844,Yes
Person_301,21,351471,No
Person_15,22,1087121,Yes
Person_157,25,384078,Yes
Person_41,28,521184,Yes
Person_357,23,396170,No
Person_341,47,329553,No
Person_217,36,333673,No
Person_280,23,331654,No
Person_337,47,323234,No
Person_237,41,265726,No
Person_208,51,265726,No
Person_213,27,375339,No
Person_296,52,287703,No
Person_355,25,388694,No
Person_252,46,329346,No
Person_381,51,277564,No
Person_356,42,342869,No
Person_304,48,265726,No
Person_270,21,367373,No
Person_202,30,305286,No
Person_162,52,203051,Yes
Person_44,39,232711,Yes
Person_218,46,328025,No
Person_191,57,1243233,Yes
Person_310,59,285061,No
Person_260,42,275373,No
Person_106,41,750929,Yes
Person_54,21,902335,Yes
Person_2,48,1264284,Yes
Person_50,36,1024792,Yes
Person_81,28,560032,Yes
Person_206,42,344114,No
Person_35,28,469544,Yes
Person_264,34,275109,No
Person_92,24,1029957,Yes
Person_53,23,1186001,Yes
Person_265,20,424951,No
Person_242,48,274787,No
Person_14,43,943974,Yes
Person_316,26,383810,No
Person_89,54,324123,Yes
Person_274,20,424125,No
Person_167,43,1149597,Yes
Person_329,37,319280,No
Person_384,39,267911,No
Person_135,55,464512,Yes
Person_307,34,304525,No
Person_374,36,304556,No
Person_320,23,350935,No
Person_244,21,398012,No
Person_55,25,1007789,Yes
Person_51,55,333272,Yes
Person_175,21,1003451,Yes
Person_190,36,1003328,Yes
Person_388,23,308675,No
Person_188,23,578496,Yes
Person_170,21,1157238,Yes
Person_59,45,654351,Yes
Person_49,33,1112495,Yes
Person_345,50,276777,No
Person_236,33,283554,No
Person_253,39,340440,No
Person_22,40,1208239,Yes
Person_314,25,364701,No
Person_161,56,451451,Yes
Person_277,26,361284,No
Person_192,43,377247,Yes
Person_294,38,367282,No
Person_344,21,310686,No
Person_258,36,365986,No
Person_309,37,291975,No
Person_150,58,484821,Yes
Person_131,42,419963,Yes
Person_152,20,427897,No
Person_360,20,381156,No
Person_100,52,848307,Yes
Person_373,30,301510,No
Person_88,27,830271,Yes
Person_331,45,327749,No
Person_215,42,277686,No
Person_122,34,1223904,Yes
Person_390,31,312453,No
Person_21,21,845263,Yes
Person_189,30,950201,Yes
Person_72,37,456687,Yes
Person_107,46,889944,Yes
Person_271,57,286320,No
Person_349,24,415140,No
Person_103,56,468246,Yes
